"id";"session_id";"item";"engagement_with";"engagement_without";"information_with";"information_without";"date";"id";"imagetype";"date";"ip"
1;1;1;0;1;0;-1;"2016-06-27 10:37:01";1;"static";"2016-06-27 10:36:45";"217.115.196.87"
2;1;2;0;0;1;-1;"2016-06-27 10:37:19";1;"static";"2016-06-27 10:36:45";"217.115.196.87"
3;1;3;1;1;1;0;"2016-06-27 10:37:39";1;"static";"2016-06-27 10:36:45";"217.115.196.87"
4;2;1;1;0;1;0;"2016-06-27 10:41:07";2;"static";"2016-06-27 10:40:42";"82.161.255.143"
5;3;1;1;-1;1;1;"2016-06-27 10:41:30";3;"static";"2016-06-27 10:41:04";"82.161.255.143"
6;2;2;0;-2;1;-1;"2016-06-27 10:41:36";2;"static";"2016-06-27 10:40:42";"82.161.255.143"
7;3;2;0;-1;2;1;"2016-06-27 10:41:59";3;"static";"2016-06-27 10:41:04";"82.161.255.143"
8;2;3;1;0;1;-1;"2016-06-27 10:42:29";2;"static";"2016-06-27 10:40:42";"82.161.255.143"
9;3;3;1;0;2;1;"2016-06-27 10:42:28";3;"static";"2016-06-27 10:41:04";"82.161.255.143"
13;5;1;-1;-1;1;1;"2016-06-27 11:10:13";5;"static";"2016-06-27 11:09:59";"82.161.255.143"
14;5;2;-2;-2;0;-2;"2016-06-27 11:10:31";5;"static";"2016-06-27 11:09:59";"82.161.255.143"
15;5;3;-2;-2;-1;0;"2016-06-27 11:10:57";5;"static";"2016-06-27 11:09:59";"82.161.255.143"
16;6;1;0;0;1;0;"2016-06-27 11:27:02";6;"static";"2016-06-27 11:26:37";"82.161.255.143"
17;6;2;0;-1;-1;-2;"2016-06-27 11:27:34";6;"static";"2016-06-27 11:26:37";"82.161.255.143"
18;6;3;0;-1;1;-2;"2016-06-27 11:28:12";6;"static";"2016-06-27 11:26:37";"82.161.255.143"
22;8;1;1;1;1;1;"2016-06-27 11:48:42";8;"static";"2016-06-27 11:48:21";"62.72.192.91"
23;8;2;0;-1;0;-1;"2016-06-27 11:50:20";8;"static";"2016-06-27 11:48:21";"62.72.192.91"
24;8;3;0;0;0;1;"2016-06-27 11:50:57";8;"static";"2016-06-27 11:48:21";"62.72.192.91"
25;9;1;0;-1;1;1;"2016-06-27 11:51:49";9;"static";"2016-06-27 11:51:36";"82.161.255.143"
26;9;2;-1;-1;1;-1;"2016-06-27 11:52:20";9;"static";"2016-06-27 11:51:36";"82.161.255.143"
27;9;3;1;1;-1;-1;"2016-06-27 11:52:49";9;"static";"2016-06-27 11:51:36";"82.161.255.143"
28;10;1;2;1;0;-1;"2016-06-27 13:53:51";10;"static";"2016-06-27 13:50:06";"213.251.71.160"
29;10;2;1;-2;0;-1;"2016-06-27 13:54:54";10;"static";"2016-06-27 13:50:06";"213.251.71.160"
30;10;3;1;0;2;0;"2016-06-27 13:55:46";10;"static";"2016-06-27 13:50:06";"213.251.71.160"
50;18;1;1;1;1;1;"2016-06-27 17:24:02";18;"static";"2016-06-27 17:23:34";"86.95.115.162"
51;18;2;1;0;-1;-1;"2016-06-27 17:25:01";18;"static";"2016-06-27 17:23:34";"86.95.115.162"
52;18;3;0;-1;-1;-1;"2016-06-27 17:26:46";18;"static";"2016-06-27 17:23:34";"86.95.115.162"
56;20;1;-1;-1;1;0;"2016-06-27 17:45:33";20;"static";"2016-06-27 17:45:22";"146.50.1.199"
57;20;2;1;1;0;-2;"2016-06-27 17:45:52";20;"static";"2016-06-27 17:45:22";"146.50.1.199"
59;20;3;1;1;1;-1;"2016-06-27 17:46:10";20;"static";"2016-06-27 17:45:22";"146.50.1.199"
61;22;1;2;2;1;1;"2016-06-27 17:51:56";22;"static";"2016-06-27 17:51:16";"77.167.50.92"
62;22;2;-1;0;-1;-1;"2016-06-27 17:52:56";22;"static";"2016-06-27 17:51:16";"77.167.50.92"
63;22;3;1;-2;1;-2;"2016-06-27 17:54:05";22;"static";"2016-06-27 17:51:16";"77.167.50.92"
67;24;1;-1;-1;1;1;"2016-06-27 18:01:03";24;"static";"2016-06-27 18:00:47";"2001:1c00:1704:1600:40d8:7b37:33a2:1bd8"
68;24;2;1;-2;1;-1;"2016-06-27 18:01:32";24;"static";"2016-06-27 18:00:47";"2001:1c00:1704:1600:40d8:7b37:33a2:1bd8"
69;24;3;1;-1;1;1;"2016-06-27 18:01:48";24;"static";"2016-06-27 18:00:47";"2001:1c00:1704:1600:40d8:7b37:33a2:1bd8"
74;26;1;NULL;-1;NULL;-1;"2016-06-27 18:26:19";26;"static";"2016-06-27 18:26:19";"188.207.77.212"
75;27;1;-1;-1;-1;-1;"2016-06-27 18:32:57";27;"static";"2016-06-27 18:32:43";"145.97.207.220"
76;27;2;0;-2;0;-2;"2016-06-27 18:33:21";27;"static";"2016-06-27 18:32:43";"145.97.207.220"
77;27;3;0;-1;0;-1;"2016-06-27 18:33:43";27;"static";"2016-06-27 18:32:43";"145.97.207.220"
84;30;1;1;1;2;1;"2016-06-27 19:01:29";30;"static";"2016-06-27 19:01:09";"145.97.210.31"
85;30;2;-1;-2;-1;-2;"2016-06-27 19:01:59";30;"static";"2016-06-27 19:01:09";"145.97.210.31"
86;30;3;-1;0;1;-1;"2016-06-27 19:02:40";30;"static";"2016-06-27 19:01:09";"145.97.210.31"
90;32;1;1;1;1;2;"2016-06-27 19:21:27";32;"static";"2016-06-27 19:20:57";"90.42.173.160"
91;32;2;1;-1;1;-2;"2016-06-27 19:21:55";32;"static";"2016-06-27 19:20:57";"90.42.173.160"
92;32;3;-1;-1;-2;-1;"2016-06-27 19:22:29";32;"static";"2016-06-27 19:20:57";"90.42.173.160"
93;33;1;NULL;-1;NULL;0;"2016-06-27 19:37:59";33;"static";"2016-06-27 19:37:59";"77.160.237.188"
102;37;1;1;1;2;1;"2016-06-27 21:31:50";37;"static";"2016-06-27 21:31:37";"2001:980:a4a2:1:1066:146c:d85c:333b"
103;37;2;0;-1;0;-1;"2016-06-27 21:32:19";37;"static";"2016-06-27 21:31:37";"2001:980:a4a2:1:1066:146c:d85c:333b"
104;37;3;1;0;2;0;"2016-06-27 21:32:59";37;"static";"2016-06-27 21:31:37";"2001:980:a4a2:1:1066:146c:d85c:333b"
106;38;1;-1;-1;1;1;"2016-06-27 22:00:00";38;"static";"2016-06-27 21:59:20";"86.84.35.189"
107;38;2;-1;-2;1;0;"2016-06-27 22:00:57";38;"static";"2016-06-27 21:59:20";"86.84.35.189"
109;38;3;-2;-2;2;-1;"2016-06-27 22:01:33";38;"static";"2016-06-27 21:59:20";"86.84.35.189"
112;40;1;1;-1;1;1;"2016-06-27 23:33:50";40;"static";"2016-06-27 23:33:25";"62.195.10.215"
113;40;2;-1;-1;0;-1;"2016-06-27 23:34:27";40;"static";"2016-06-27 23:33:25";"62.195.10.215"
114;40;3;0;-1;-1;-1;"2016-06-27 23:35:06";40;"static";"2016-06-27 23:33:25";"62.195.10.215"
118;42;1;-1;-1;2;1;"2016-06-28 07:29:40";42;"static";"2016-06-28 07:29:08";"2001:1c00:b01:3c00:216f:c257:b85b:658d"
119;42;2;1;-2;1;-1;"2016-06-28 07:30:36";42;"static";"2016-06-28 07:29:08";"2001:1c00:b01:3c00:216f:c257:b85b:658d"
120;42;3;-1;-2;-1;-2;"2016-06-28 07:32:19";42;"static";"2016-06-28 07:29:08";"2001:1c00:b01:3c00:216f:c257:b85b:658d"
124;44;1;1;1;-1;-2;"2016-06-29 17:58:39";44;"static";"2016-06-29 17:57:56";"31.161.168.206"
125;44;2;2;-2;1;-2;"2016-06-29 18:00:32";44;"static";"2016-06-29 17:57:56";"31.161.168.206"
126;44;3;1;-2;0;-2;"2016-06-29 18:01:20";44;"static";"2016-06-29 17:57:56";"31.161.168.206"
129;47;1;NULL;1;NULL;0;"2016-07-01 10:21:51";47;"static";"2016-07-01 10:21:51";"90.128.223.11"
